Publication_date,Source,Scraped_category,Title,Summary,Article_Url
2024-08-25,BBC,news,Blockbuster Chinese video game tried to police players - and divided the internet,The hugely popular Black Myth: Wukong has attracted some press for the wrong reasons.,https://www.bbc.com/news/articles/cnvyre936zvo
2024-08-24,BBC,news,Rampant harassment and no toilets: Report exposes Kerala film industry,A landmark report reveals the deep rot in the Malayalam-language film industry.,https://www.bbc.com/news/articles/cgq24z8z817o
2024-08-23,BBC,news,"Honest talks needed, Starmer tells Chinese leader",It is the first official call between the Chinese president and a UK prime minister since 2022.,https://www.bbc.com/news/articles/cwy7wdyrd42o
2024-08-23,BBC,news,Fourteen dead after Indian bus falls into river in Nepal,"The bus, registered in India, was carrying around 40 passengers when it veered off a highway.",https://www.bbc.com/news/articles/czx60gvpynro
2024-08-23,BBC,news,Woman swallowed by pavement sinkhole in Kuala Lumpur,The 48-year-old was sitting on a roadside bench when the ground beneath her suddenly caved in.,https://www.bbc.com/news/articles/c39krpky3v8o
2024-08-23,BBC,news,Taiwan jails spies 'seduced by money' to work for China,The sentencing of eight Taiwanese soldiers is the latest in a string of spying cases.,https://www.bbc.com/news/articles/cx2n7ld331jo
2024-08-23,BBC,news,Two die jumping to escape fire after air mattress fails,Seven people were killed and a dozen injured after a fire broke out in the city of Bucheon.,https://www.bbc.com/news/articles/cj4xyerw0l0o
2024-08-22,BBC,news,Chinese scammers cheated victims from Isle of Man base,A seaside hotel and office block were used by scam artists who tricked people out of millions of dollars.,https://www.bbc.com/news/articles/cz6x1ql1yelo
2024-08-22,BBC,news,When vets are scarce what can farmers do?,In Vietnam farmers are being encouraged to track the use of antibiotics and monitor disease.,https://www.bbc.com/news/articles/ce58nvdg327o
2024-08-22,BBC,news,Police clash with protesters over Indonesia law change,The country's leaders want to reverse a constitutional court decision to open up elections to their rivals.,https://www.bbc.com/news/articles/c8er13zy1gxo
2024-08-22,BBC,news,Barrier blocking Mount Fuji view removed - for now,Authorities had initially installed the barrier after growing tired of visitors' bad behaviour.,https://www.bbc.com/news/articles/ckg2j7dery1o
2024-08-22,BBC,news,Six-year-old boy found in Vietnam forest after five days,Dang Tien Lam was found by locals who heard a child's cries while they were farming near the forest.,https://www.bbc.com/news/articles/cp3de0prrkgo
2024-08-22,BBC,news,US charges Chinese dissident with allegedly spying for Beijing,"Yuanjun Tang, now an American citizen, is alleged to have spied on US-based Chinese democracy activists.",https://www.bbc.com/news/articles/cp8nzpx45wxo
2024-08-22,BBC,news,LGBT Indians demand end to 'discriminatory' ban on blood donation,"Many countries have lifted bans on blood donations by LGBT people, but India hasn't yet.",https://www.bbc.com/news/articles/clywepq2eq2o
2024-08-22,BBC,news,'That little devil is filming': Director's time with the Taliban,Ibrahim Nash at succeeded in getting permission to film with the Taliban for a year.,https://www.bbc.com/news/articles/c0l81rykd55o
