Publication_date,Source,Scraped_category,Title,Summary,news_raw,Article_Url
08-09-2024,BBC,Tennis,Draper to look into sickness issuesAttributionTennisPosted3 days ago3d,Draper to look into sickness issuesAttributionTennisPosted3 days ago3d,Draper to look into sickness issuesAttributionTennisPosted3 days ago3d,https://www.bbc.com/sport/tennis/articles/c7v5400dmdpo
09-09-2024,BBC,Tennis,Sinner storms past Fritz to win first US Open titleAttributionTennisPosted2 days ago2d,Sinner storms past Fritz to win first US Open titleAttributionTennisPosted2 days ago2d,Sinner storms past Fritz to win first US Open titleAttributionTennisPosted2 days ago2d,https://www.bbc.com/sport/tennis/articles/cje259yn5w5o
08-09-2024,BBC,Tennis,Sabalenka 'living best life' after solving US Open strugglesAttributionTennisPosted3 days ago3d,Sabalenka 'living best life' after solving US Open strugglesAttributionTennisPosted3 days ago3d,Sabalenka 'living best life' after solving US Open strugglesAttributionTennisPosted3 days ago3d,https://www.bbc.com/sport/tennis/articles/c204lz9dv1eo
10-09-2024,BBC,Tennis,The rise of padel and why it's so popularPosted1 day ago1d,The rise of padel and why it's so popularPosted1 day ago1d,The rise of padel and why it's so popularPosted1 day ago1d,https://www.bbc.com/sport/articles/crrlnlj8lrxo
08-09-2024,BBC,Tennis,GB's Hewett beaten in Paralympic final thrillerAttributionDisability SportPosted3 days ago3d,GB's Hewett beaten in Paralympic final thrillerAttributionDisability SportPosted3 days ago3d,GB's Hewett beaten in Paralympic final thrillerAttributionDisability SportPosted3 days ago3d,https://www.bbc.com/sport/tennis/articles/c5y85gp3k70o
08-09-2024,BBC,Tennis,British teen Stojsavljevic wins US Open junior titleAttributionTennisPosted3 days ago3d,British teen Stojsavljevic wins US Open junior titleAttributionTennisPosted3 days ago3d,British teen Stojsavljevic wins US Open junior titleAttributionTennisPosted3 days ago3d,https://www.bbc.com/sport/tennis/articles/cpvyed0zrgpo
08-09-2024,BBC,Tennis,GB's Burrage wins on return from injury,Great Britain's Jodie Burrage earns a win on her return to action after six months out because of injury.AttributionTennisPosted3 days ago3d,GB's Burrage wins on return from injuryGreat Britain's Jodie Burrage earns a win on her return to action after six months out because of injury.AttributionTennisPosted3 days ago3d,https://www.bbc.com/sport/tennis/articles/cgl27824278o
07-09-2024,BBC,Tennis,Sickness 'worst feeling' but Slam success close - DraperAttributionTennisPosted4 days ago4d,Sickness 'worst feeling' but Slam success close - DraperAttributionTennisPosted4 days ago4d,Sickness 'worst feeling' but Slam success close - DraperAttributionTennisPosted4 days ago4d,https://www.bbc.com/sport/tennis/articles/cn9lwd01v52o
08-09-2024,BBC,Tennis,Sabalenka holds off Pegula to win first US Open titleAttributionTennisPosted3 days ago3d,Sabalenka holds off Pegula to win first US Open titleAttributionTennisPosted3 days ago3d,Sabalenka holds off Pegula to win first US Open titleAttributionTennisPosted3 days ago3d,https://www.bbc.com/sport/tennis/articles/cql3w40gkxvo
07-09-2024,BBC,Tennis,Sick Draper loses to Sinner in dramatic US Open semi-finalAttributionTennisPosted4 days ago4dComments1178,Sick Draper loses to Sinner in dramatic US Open semi-finalAttributionTennisPosted4 days ago4dComments1178,Sick Draper loses to Sinner in dramatic US Open semi-finalAttributionTennisPosted4 days ago4dComments1178,https://www.bbc.com/sport/tennis/articles/c049kw6dln5o
